"","Name","Ask","Bid","Date"
"237","China New Borun Corporation Ame","N/A","N/A","Tue Nov 15 06:42:36 2016"
"238","Box, Inc. Class A Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"239","Brookfield Canada Office Proper","N/A","N/A","Tue Nov 15 06:42:36 2016"
"240","BP p.l.c. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"241","Bridgepoint Education, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"242","Blackrock Municipal 2018 Term T","N/A","N/A","Tue Nov 15 06:42:36 2016"
"243","Buckeye Partners L.P. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"244","BP Prudhoe Bay Royalty Trust Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"245","Brookfield Property Partners L.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"246","Blackrock New York Municipal Bo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"247","Broadridge Financial Solutions,","N/A","N/A","Tue Nov 15 06:42:36 2016"
"248","Brady Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"249","BRF S.A.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"252","Brown & Brown, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"253","Bristow Group Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"254","Global Brass and Copper Holding","N/A","N/A","Tue Nov 15 06:42:36 2016"
"255","BRT Realty Trust Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"256","Brixmor Property Group Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"257","Banco Santander - Chile ADS","N/A","N/A","Tue Nov 15 06:42:36 2016"
"258","Banco Santander Brasil SA Ameri","N/A","N/A","Tue Nov 15 06:42:36 2016"
"259","BlackRock Strategic Municipal T","N/A","N/A","Tue Nov 15 06:42:36 2016"
"260","Blackrock New York Municipal In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"261","Blackstone GSO Senior Floating ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"262","Black Stone Minerals, L.P. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"263","Grupo Financiero Santander Mexi","N/A","N/A","Tue Nov 15 06:42:36 2016"
"264","BlackRock Science and Technolog","N/A","N/A","Tue Nov 15 06:42:36 2016"
"265","Boston Scientific Corporation C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"266","BT Group plc American Depositar","N/A","N/A","Tue Nov 15 06:42:36 2016"
"267","BlackRock Long-Term Municipal A","N/A","N/A","Tue Nov 15 06:42:36 2016"
"268","Baytex Energy Corp","N/A","N/A","Tue Nov 15 06:42:36 2016"
"269","John Hancock Financial Opportun","N/A","N/A","Tue Nov 15 06:42:36 2016"
"270","BlackRock Municipal 2030 Target","N/A","N/A","Tue Nov 15 06:42:36 2016"
"271","BlackRock Credit Allocation Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"272","Anheuser-Busch Inbev SA Sponsor","N/A","N/A","Tue Nov 15 06:42:36 2016"
"273","BlackRock Utility and Infrastru","N/A","N/A","Tue Nov 15 06:42:36 2016"
"274","Burlington Stores, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"275","Buenaventura Mining Company Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"276","Babcock & Wilcox Enterprises, I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"277","BorgWarner Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"278","Legg Mason BW Global Income Opp","N/A","N/A","Tue Nov 15 06:42:36 2016"
"279","Boardwalk Pipeline Partners LP ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"280","BWX Technologies, Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"281","The Blackstone Group L.P. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"282","Bluelinx Holdings Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"283","Bellatrix Exploration Ltd Ordin","N/A","N/A","Tue Nov 15 06:42:36 2016"
"284","Blackstone Mortgage Trust, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"285","Nuveen S&P 500 Buy-Write Income","N/A","N/A","Tue Nov 15 06:42:36 2016"
"286","Boston Properties, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"288","BancorpSouth, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"289","Boyd Gaming Corporation Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"290","Blackrock Municipal Income Qual","N/A","N/A","Tue Nov 15 06:42:36 2016"
"291","Beazer Homes USA, Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"292","Citigroup, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"301","CalAtlantic Group, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"302","Cabela's Inc Class A Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"304","Chesapeake Lodging Trust Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
"305","Chunghwa Telecom Co., Ltd.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"306","China Unicom (Hong Kong) Ltd Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"307","Cigna Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"308","Citizens, Inc. Class A Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"309","BanColombia S.A. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"310","Cobalt International Energy, In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"311","Ciena Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"312","MFS Intermediate High Income Fu","N/A","N/A","Tue Nov 15 06:42:36 2016"
"313","Comp En De Mn Cemig ADS America","N/A","N/A","Tue Nov 15 06:42:36 2016"
"315","Blackrock Capital and Income Fu","N/A","N/A","Tue Nov 15 06:42:36 2016"
"316","Chimera Investment Corporation ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"318","Ciner Resources LP Common Units","N/A","N/A","Tue Nov 15 06:42:36 2016"
"319","City Office REIT, Inc. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"321","CIRCOR International, Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"322","CIT Group Inc (DEL) Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"323","Civitas Solutions, Inc. Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"324","SEACOR Holdings Inc. Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"325","Colgate-Palmolive Company Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"326","Capitala Finance Corp. 7.125% N","N/A","N/A","Tue Nov 15 06:42:36 2016"
"327","Core Laboratories N.V. Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"328","CLARCOR Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"329","Cloud Peak Energy Inc Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"330","Chatham Lodging Trust (REIT) Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"331","Cliffs Natural Resources Inc Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"332","CoreLogic, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"333","Clean Harbors, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"334","Mack-Cali Realty Corporation Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"338","Colony Capital, Inc. Class A Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"339","Continental Resources, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"340","Celestica, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"341","Clearwater Paper Corporation Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"342","Clorox Company (The) Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"343","Canadian Imperial Bank of Comme","N/A","N/A","Tue Nov 15 06:42:36 2016"
"344","Comerica Incorporated Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"346","Commercial Metals Company Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"347","Cheetah Mobile Inc. American De","N/A","N/A","Tue Nov 15 06:42:36 2016"
"348","Chipotle Mexican Grill, Inc. Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"349","Cummins Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"350","Cantel Medical Corp. Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"351","Capstead Mortgage Corporation C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"353","Compass Minerals Intl Inc Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"357","Costamare Inc. Common Stock $0.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"358","CMS Energy Corporation Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"360","MFS Municipal Income Trust Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"361","CNA Financial Corporation Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"362","Centene Corporation Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"363","Cencosud S.A. American Deposita","N/A","N/A","Tue Nov 15 06:42:36 2016"
"364","CNH Industrial N.V. Common Shar","N/A","N/A","Tue Nov 15 06:42:36 2016"
"365","Canadian National Railway Compa","N/A","N/A","Tue Nov 15 06:42:36 2016"
"366","Cinemark Holdings Inc Cinemark ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"367","Cone Midstream Partners LP Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"368","CNO Financial Group, Inc. Commo","N/A","N/A","Tue Nov 15 06:42:36 2016"
"369","CenterPoint Energy, Inc (Holdin","N/A","N/A","Tue Nov 15 06:42:36 2016"
"370","Canadian Natural Resources Limi","N/A","N/A","Tue Nov 15 06:42:36 2016"
"371","Cohen & Steers Inc Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"372","CONSOL Energy Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"373","CNX Coal Resources LP Common Un","N/A","N/A","Tue Nov 15 06:42:36 2016"
"374","China Cord Blood Corporation Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"375","Compass Diversified Holdings Sh","N/A","N/A","Tue Nov 15 06:42:36 2016"
"376","China Online Education Group Am","N/A","N/A","Tue Nov 15 06:42:36 2016"
"377","Capital One Financial Corporati","N/A","N/A","Tue Nov 15 06:42:36 2016"
